Model,Accuracy,Precision (macro avg),Recall (macro avg),F1-Score (macro avg)
Logistic Regression,0.8809523809523809,0.8814489157310544,0.881892579056094,0.8809637170154566
SVM,0.9142857142857143,0.9148217853758732,0.9149398802902696,0.9141662097012527
KNN,0.8523809523809524,0.8578417001372072,0.8535021906426641,0.8519613201261567
Random Forest,0.8666666666666667,0.8659576225716182,0.8672731606546956,0.8658899243044942
